experiment,min_RMSE,min_year,simulation
expAE01,0.0068955216842219,2169,ULB_fETISh-KoriBU1
expAE02,0.0064081488131551,2185,ULB_fETISh-KoriBU1
expAE03,0.00701977531363,2110,ULB_fETISh-KoriBU1
expAE04,0.00565570366012,2176,ULB_fETISh-KoriBU1
expAE05,0.0,2136,ULB_fETISh-KoriBU1
expAE06,0.0071720658215882,2141,ULB_fETISh-KoriBU1
expAE07,0.0068008418361529,2134,ULB_fETISh-KoriBU1
expAE08,0.0071418675155819,2117,ULB_fETISh-KoriBU1
expAE09,0.0065416662531664,2215,ULB_fETISh-KoriBU1
expAE10,0.0072916084854762,2127,ULB_fETISh-KoriBU1
expAE11,0.0097517402854643,2162,ULB_fETISh-KoriBU1
expAE12,0.0081323582359322,2115,ULB_fETISh-KoriBU1
expAE13,0.0142988581005467,2129,ULB_fETISh-KoriBU1
expAE14,0.0092513131357464,2119,ULB_fETISh-KoriBU1
expAE01,0.0128162976263102,2221,ULB_fETISh-KoriBU2
expAE02,0.012422382398219,2150,ULB_fETISh-KoriBU2
expAE03,0.0124917817225509,2097,ULB_fETISh-KoriBU2
expAE04,0.0116316936311335,2151,ULB_fETISh-KoriBU2
expAE05,0.0125607976163989,2119,ULB_fETISh-KoriBU2
expAE06,0.012680671612088,2125,ULB_fETISh-KoriBU2
expAE07,0.0114632450849195,2188,ULB_fETISh-KoriBU2
expAE08,0.0125090713941094,2084,ULB_fETISh-KoriBU2
expAE09,0.0107228839120973,2182,ULB_fETISh-KoriBU2
expAE10,0.0128835752414631,2196,ULB_fETISh-KoriBU2
expAE11,0.0129671814091492,2135,ULB_fETISh-KoriBU2
expAE12,0.0126123116983897,2110,ULB_fETISh-KoriBU2
expAE13,0.0139623672462822,2123,ULB_fETISh-KoriBU2
expAE14,0.0130004733289186,2120,ULB_fETISh-KoriBU2
